step,threshold,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix
"Step 0 Baseline: C=1, class_weight=balanced",0.5,0.49238578680203043,0.5333333333333333,0.4528301886792453,0.4897959183673469,0.4856935517312876,"[[49, 42], [58, 48]]"
"Step 1: C=0.001, class_weight=None",0.5,0.5431472081218274,0.5512820512820513,0.8113207547169812,0.6564885496183206,0.5188679245283019,"[[21, 70], [20, 86]]"
Step 2: SelectKBest top12 + C=0.001,0.5,0.5431472081218274,0.5888888888888889,0.5,0.5408163265306123,0.5180385652083765,"[[54, 37], [53, 53]]"
Step 3: Baseline + threshold=0.32,0.32,0.5431472081218274,0.5416666666666666,0.9811320754716981,0.697986577181208,0.4856935517312876,"[[3, 88], [2, 104]]"
