Time,검색 관심도
2025-05-04,56
2025-05-11,75
2025-05-18,65
2025-05-25,62
2025-06-01,64
2025-06-08,74
2025-06-15,78
2025-06-22,72
2025-06-29,90
2025-07-06,100
2025-07-13,82
2025-07-20,86
2025-07-27,95
2025-08-03,87
2025-08-10,89
