Time,검색 관심도
2025-05-04,90
2025-05-11,88
2025-05-18,82
2025-05-25,86
2025-06-01,86
2025-06-08,85
2025-06-15,84
2025-06-22,90
2025-06-29,90
2025-07-06,100
2025-07-13,96
2025-07-20,84
2025-07-27,86
2025-08-03,78
2025-08-10,79
