Date,trend_base,trend_stock,trend_forecast,trend_earnings,trend_business_plan,ticker,company_name,foreign_ratio
2025-05-12,84.12836764842936,13.489381137167541,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-13,85.06312728896746,23.981122021631187,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-14,80.38932908627694,21.732891832103263,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-15,81.32408872681505,15.737611326695466,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-16,76.65029052412453,20.983481768927287,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-17,61.694136275514865,0.0,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-18,62.62889591605296,0.0,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-19,77.58505016466263,11.990561010815593,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-20,79.45456944573884,16.48702138987144,0.0,0.0,100.0,035420.KS,네이버,0.45
2025-05-21,78.51980980520074,18.735251579399364,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-22,83.19360800789126,19.484661642575336,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-23,83.19360800789126,21.732891832103263,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-24,66.36793447820538,0.0,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-25,68.23745375928158,0.0,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-26,89.73692549165798,24.730532084807162,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-27,85.99788692950557,14.238791200343517,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-28,85.99788692950557,18.735251579399364,35.289842377403254,0.0,0.0,035420.KS,네이버,0.45
2025-05-29,87.86740621058178,31.475222653390933,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-30,79.45456944573884,26.978762274335082,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-05-31,68.23745375928158,0.0,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-01,67.30269411874349,0.0,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-02,83.19360800789126,26.229352211159107,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-03,75.71553088358642,11.990561010815593,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-04,86.93264657004367,26.229352211159107,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-05,80.38932908627694,28.477582400687034,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-06,64.49841519712918,11.990561010815593,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-07,58.88985735390055,0.0,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-08,65.43317483766728,11.990561010815593,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-09,84.12836764842936,20.234071705751315,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-10,79.45456944573884,29.97640252703898,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-11,77.58505016466263,17.98584151622339,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-12,85.06312728896746,17.236431453047416,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-13,80.38932908627694,28.477582400687034,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-14,64.49841519712918,14.98820126351949,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-15,66.36793447820538,0.0,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-16,82.25884836735315,30.725812590214957,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-17,83.19360800789126,38.96932328515067,0.0,0.0,0.0,035420.KS,네이버,0.45
2025-06-18,85.06312728896746,74.94100631759746,35.84124616455018,0.0,0.0,035420.KS,네이버,0.45
