Date,trend_base,trend_stock,trend_forecast,trend_earnings,trend_business_plan,ticker,company_name,foreign_ratio
2025-06-22,12.225651354030362,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-06-23,17.00960188386833,19.26727312719412,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-06-24,9.833676089111378,12.556200464913022,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-06-25,14.086076560078462,16.452952333334306,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-06-26,10.365226147982263,11.040796960526968,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-06-27,11.428326265724035,17.318897192983478,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-06-28,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-06-29,6.112825677015181,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-06-30,12.491426383465805,14.288090184211368,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-01,12.225651354030362,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-02,15.414951707255675,15.154035043860544,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-03,9.302126030240492,17.751869622808066,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-04,14.351851589513902,12.772686679825314,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-05,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-06,6.910150765321508,15.370521258772838,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-07,16.74382685443289,12.772686679825314,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-08,6.910150765321508,14.504576399123664,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-09,10.896776206853149,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-10,14.086076560078462,19.483759342106413,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-11,9.567901059675936,14.071603969299076,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-12,5.315500588708853,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-13,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-14,10.365226147982263,21.21564906140476,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-15,11.95987632459492,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-16,13.02297644233669,12.339714250000728,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-17,15.14917667782023,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-18,15.414951707255675,15.58700747368513,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-19,8.770575971369608,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-20,6.910150765321508,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-21,17.00960188386833,12.772686679825314,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-22,13.820301530643016,11.257283175439262,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-23,11.162551236288591,16.019979903509718,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-24,13.820301530643016,14.504576399123664,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-25,15.14917667782023,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-26,7.97325088306328,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-27,9.03635100080505,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-28,16.74382685443289,13.638631539474488,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-29,26.577502943544268,21.64862149122935,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-30,15.414951707255675,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-07-31,17.806926972174658,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-08-01,10.631001177417707,12.123228035088434,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
