Date,trend,ticker,company_name,foreign_ratio,weighted_trend,Close,High,Low,Open,Volume,return,return_lag1,return_lag3_mean,return_lag7_mean,volume_change,ma5,ma20,ma5_gap,ma20_gap,volatility_7,next_return,target
2025-06-26,68.0,000660.KS,SK하이닉스,0.53,36.04,291829.53125,297307.5599936007,285853.4998933447,293323.5390891638,5894020,0.024475505296507993,0.026930067804530555,0.04154109385331287,0.023856832801617402,0.07818793333623586,273702.23125,239420.971875,0.06623000447315494,0.2188971123313381,0.02857764108640989,-0.030716883625875324,0
2025-06-27,58.0,000660.KS,SK하이닉스,0.53,30.74,282865.4375,293323.4906470071,279877.42231514084,286849.4577464789,5134863,-0.030716883625875324,0.024475505296507993,0.006896229825054408,0.02090300782261883,-0.12880122564904772,279080.65,243224.46484375,0.01356162636141193,0.16298102529166128,0.033337420723413363,0.028169091884900244,1
2025-06-30,67.0,000660.KS,SK하이닉스,0.53,35.510000000000005,290833.5,293323.5128424657,284857.4691780822,287347.48202054796,4375298,0.028169091884900244,-0.030716883625875324,0.007309237851844304,0.0252169333748181,-0.14792312862095836,285554.68125,247208.484375,0.018486192300865935,0.1764705436194639,0.03179355059660601,-0.022260266613027713,0
2025-07-01,58.0,000660.KS,SK하이닉스,0.53,30.74,284359.46875,293323.5150503503,284359.46875,289837.4970446585,3687981,-0.022260266613027713,0.028169091884900244,-0.008269352784667597,0.015648971228460477,-0.15709032847591187,286949.0875,251242.3046875,-0.00902466278098906,0.13181364541171425,0.03487608901502789,-0.022767067607978198,0
2025-07-02,56.0,000660.KS,SK하이닉스,0.53,29.68,277885.4375,282367.4606854839,273403.4143145161,282367.4606854839,4702056,-0.022767067607978198,-0.022260266613027713,-0.005619414112035222,0.011006879371136804,0.2749675228804054,285554.675,254803.02265625,-0.02685733476434938,0.09058925048503082,0.03783282415986599,-0.0017921054247399537,0
2025-07-03,51.0,000660.KS,SK하이닉스,0.53,27.03,277387.4375,282865.4658886894,275893.42975763016,279877.4504039497,3642140,-0.0017921054247399537,-0.022767067607978198,-0.015606479881915289,0.00029119167347394344,-0.22541543529043462,282666.25625,257840.83828125,-0.018675093447769738,0.0758087793580192,0.02606971589043926,-0.028725390637057924,0
2025-07-04,64.0,000660.KS,SK하이닉스,0.53,33.92,269419.375,280375.43091497227,267925.36737523106,278383.42074861366,3654933,-0.028725390637057924,-0.0017921054247399537,-0.01776152122325869,-0.007659588103895839,0.003512495401055471,279977.04375,260131.64921875,-0.03770905145861628,0.03570394378824605,0.025058626437582308,0.0018485353920816294,1
2025-07-07,87.0,000660.KS,SK하이닉스,0.53,46.11,269917.40625,270913.4114391144,263443.37252075644,264937.38030442805,2523564,0.0018485353920816294,-0.028725390637057924,-0.009556320223238749,-0.010892012375956748,-0.3095457563791183,275793.825,262223.2609375,-0.02130728905913688,0.02934196335211423,0.021417316870037725,0.040590425983318745,1
2025-07-08,63.0,000660.KS,SK하이닉스,0.53,33.39,280873.46875,283861.484375,267427.3984375,269917.4114583333,3119395,0.040590425983318745,0.0018485353920816294,0.00457119024611415,-0.0007052538603575956,0.23610695032897921,275096.625,264787.97421875,0.02099932614585875,0.06074858414061215,0.02671839056849684,-0.003546080747436231,0
2025-07-09,77.0,000660.KS,SK하이닉스,0.53,40.81,279877.46875,282865.48443060496,276391.4504559609,281371.4765903025,2626484,-0.003546080747436231,0.040590425983318745,0.012964293542654715,-0.0052359928078342345,-0.15801493558847146,275495.03125,266829.7859375,0.015907501054068466,0.04889889922392761,0.02350136043841871,0.05693942628241677,1
2025-07-10,79.0,000660.KS,SK하이닉스,0.53,41.870000000000005,295813.53125,295813.53125,282367.46164772724,282865.46422558924,4556065,0.05693942628241677,-0.003546080747436231,0.03132792383943309,0.00607824903437212,0.7346631466249176,279180.25,269892.5015625,0.05957900406636931,0.09604205206678314,0.031606317975855856,-0.00841746484509398,0
2025-07-11,62.0,000660.KS,SK하이닉스,0.53,32.86,293323.53125,305275.59364388796,290833.5182512733,298303.5572474533,3732533,-0.00841746484509398,0.05693942628241677,0.014991960229962187,0.008128192286212723,-0.18075510336222156,283961.08125,272830.7171875,0.032970891499590003,0.07511182858642913,0.029839608948713847,0.01867562406826173,1
2025-07-14,79.0,000660.KS,SK하이닉스,0.53,41.870000000000005,298801.53125,301291.54401041666,291331.49296875,291331.49296875,2936976,0.01867562406826173,-0.00841746484509398,0.022399195168528174,0.01105215364235582,-0.21314131716986828,289737.90625,275420.3296875,0.03128215122870206,0.0848927949110691,0.029708031275819727,-0.004999869792333911,0
2025-07-15,75.0,000660.KS,SK하이닉스,0.53,39.75,297307.5625,297307.5625,288841.51800670015,294817.54941373534,4196196,-0.004999869792333911,0.01867562406826173,0.00175276314361128,0.01444151376303068,0.4287471194861654,293024.725,277885.44375,0.014615959455298606,0.06989253732726339,0.02546370890425646,-0.008375270474325736,0
2025-07-16,60.0,000660.KS,SK하이닉스,0.53,31.8,294817.53125,298303.5493559966,291331.51314400334,297307.5441828547,3123297,-0.008375270474325736,-0.004999869792333911,0.0017668279338673616,0.012980970067829627,-0.255683719254296,296012.7375,280350.55625,-0.00403768520265108,0.051603161390196016,0.026575342739865726,-0.08952709202227949,0
2025-07-17,100.0,000660.KS,SK하이닉스,0.53,53.0,268423.375,288343.47704081633,266929.3673469388,282367.4464285714,9328322,-0.08952709202227949,-0.008375270474325736,-0.03430074409631304,-0.005607246790112977,1.9866906669458588,290534.70625,281520.8609375,-0.07610564512376562,-0.046524033401587866,0.043902280021017544,-0.0018551616452926467,0
2025-07-18,72.0,000660.KS,SK하이닉스,0.53,38.16,267925.40625,273901.437616171,265933.3957946097,268921.41147769516,5359504,-0.0018551616452926467,-0.08952709202227949,-0.03325250804729929,-0.00536568691837818,-0.4254589410614257,285455.08125,282118.4640625,-0.061409574225261714,-0.05030885822969632,0.04392015942886229,0.013011084125210681,1
2025-07-21,53.0,000660.KS,SK하이닉스,0.53,28.09,271411.40625,273403.41657110094,265435.37528669724,266431.3804472477,2424891,0.013011084125210681,-0.0018551616452926467,-0.02612372318078715,-0.011641164369407622,-0.5475530944654581,279977.05625,282765.8671875,-0.030594114084660902,-0.04015499130229512,0.035949014098433096,-0.014678823027541754,0
2025-07-22,53.0,000660.KS,SK하이닉스,0.53,28.09,267427.40625,272407.43243715086,265933.39839385473,271909.42981843575,3139858,-0.014678823027541754,0.013011084125210681,-0.0011743001825412398,-0.012535644109757303,0.29484500540436653,274001.025,282267.865625,-0.02399121955839407,-0.052575801861611496,0.03593332752324099,0.0018621876006772453,1
2025-07-23,71.0,000660.KS,SK하이닉스,0.53,37.63,267925.40625,269917.4167053903,263443.38272537175,266431.39840845723,3116279,0.0018621876006772453,-0.014678823027541754,6.481623278205746e-05,-0.014937563605126516,-0.007509575273786262,268622.6,281421.2609375,-0.0025954396614431426,-0.04795605933446955,0.03400978765297127,0.0018586096666597385,1
2025-07-24,79.0,000660.KS,SK하이닉스,0.53,41.870000000000005,268423.375,277885.42346938775,267925.3724489796,275893.41326530615,3667144,0.0018586096666597385,0.0018621876006772453,-0.0036526752534015903,-0.01395778082527028,0.1767701158978383,268622.6,280250.953125,-0.0007416539040273482,-0.04220352506606662,0.03443986981051252,-0.012986946460977977,0
2025-07-25,50.0,000660.KS,SK하이닉스,0.53,26.5,264937.375,273901.4215225564,264439.37241541356,271909.4111842105,2171063,-0.012986946460977977,0.0018586096666597385,-0.003088716397880331,-0.014616591680506314,-0.4079689807654131,268024.99375,279354.55,-0.011519891137018347,-0.051608878394856963,0.034359296827142144,-0.01503757491746871,0
2025-07-28,68.0,000660.KS,SK하이닉스,0.53,36.04,260953.359375,264439.37753458973,257467.3412154103,259957.3541865458,2877357,-0.01503757491746871,-0.012986946460977977,-0.00872197057059565,-0.003975232094104775,0.3253217433119169,265933.384375,277860.54296875,-0.01872658828339338,-0.06084773107080371,0.010640270197346709,0.0019083870052210017,1
2025-07-29,63.0,000660.KS,SK하이닉스,0.53,33.39,261451.359375,263941.37232142856,253483.31794642858,253483.31794642858,2944177,0.0019083870052210017,-0.01503757491746871,-0.008705378124408561,-0.003437582286888539,0.02322270055471054,264738.175,276715.1375,-0.012415344424732053,-0.05516061847176688,0.010858106825677104,0.003809444239956994,1
2025-07-30,52.0,000660.KS,SK하이닉스,0.53,27.56,262447.34375,264937.3564990512,259459.3284511385,261949.34120018975,2482807,0.003809444239956994,0.0019083870052210017,-0.003106581224096905,-0.004752102270496209,-0.15670593174255487,263642.5625,275943.2328125,-0.004533481766624841,-0.04890820813014924,0.008918668905354737,0.03795070796939615,1
2025-07-31,62.0,000660.KS,SK하이닉스,0.53,32.86,272407.40625,272905.40882084094,264439.36511654477,269917.39339579525,3472644,0.03795070796939615,0.003809444239956994,0.01455617973819138,0.002766402157637777,0.3986765785661148,264439.36875,275694.23125,0.030131812587757798,-0.011921994105924955,0.017351996935054542,-0.056672697385591,0
2025-08-01,64.0,000660.KS,SK하이닉스,0.53,33.92,256969.34375,265933.390625,255973.33854166666,264937.3854166666,3227394,-0.056672697385591,0.03795070796939615,-0.004970848392079286,-0.005595724268971972,-0.07062342123177612,262845.7625,275071.7296875,-0.022356908835462055,-0.06580969246845365,0.02842904508810035,0.0,0
2025-08-04,54.0,000660.KS,SK하이닉스,0.53,28.62,256969.34375,258961.35416666666,252985.32291666666,253483.3255208333,2281558,0.0,-0.056672697385591,-0.006240663138731617,-0.005861239935637649,-0.29306493102484543,262048.959375,274424.3265625,-0.01938422360888265,-0.06360581451048807,0.028356407780879653,0.021317717981680362,1
2025-08-05,66.0,000660.KS,SK하이닉스,0.53,34.980000000000004,262447.34375,263443.3488496205,259459.3284511385,262945.3462998102,2118171,0.021317717981680362,0.0,-0.011784993134636879,-0.0009605735866864576,-0.07161203002509686,262248.15625,273503.0203125,0.0007595382284027021,-0.04042250264683724,0.02984493122445044,-0.018975294448945967,0
2025-08-06,69.0,000660.KS,SK하이닉스,0.53,36.57,257467.328125,259459.33840062862,256471.32298718567,259459.33840062862,1374559,-0.018975294448945967,0.021317717981680362,0.0007808078442447982,-0.0015231049483260658,-0.35106325221145984,261252.153125,272382.51328125,-0.014487249022552957,-0.0547582331059897,0.0301896025956552,0.013539703368916634,1
2025-08-07,74.0,000660.KS,SK하이닉스,0.53,39.22,260953.359375,261949.3645634542,249001.29711354963,256969.3386211832,2724438,0.013539703368916634,-0.018975294448945967,0.005294042300550343,0.00013851167505902446,0.9820451504809906,258961.34375,270639.5046875,0.007692328114126107,-0.03578984274185817,0.03072528518461225,-0.02099237681063093,0
2025-08-08,56.0,000660.KS,SK하이닉스,0.53,29.68,255475.328125,264937.37731481483,254479.32294712475,260953.35660331385,2676174,-0.02099237681063093,0.013539703368916634,-0.008809322630220088,-0.0034046056178821077,-0.017715213192592394,258662.540625,268747.09453125,-0.012321894358181167,-0.049383850751572554,0.031647595588744665,0.040935643186190696,1
2025-08-11,49.5,000660.KS,SK하이닉스,0.53,26.235000000000003,265933.375,266431.3775749064,258961.33895131087,259459.34152621723,2415473,0.040935643186190696,-0.02099237681063093,0.011160989914825467,-0.002978186301197172,-0.09741556415987895,260455.346875,267103.68671875,0.0210325040001159,-0.00438148845164493,0.03231084623714315,0.007490715484658406,1
2025-08-12,25.0,000660.KS,SK하이닉스,0.53,13.25,267925.40625,274897.4428438662,266431.39840845723,266929.40102230484,3008648,0.007490715484658406,0.040935643186190696,0.009144660620072723,0.0061880155374098855,0.24557302027387595,261550.959375,265634.57890625,0.024371720487022182,0.008623980180526446,0.02199358731671978,0.033457190101769285,1
2025-08-13,23.0,000660.KS,SK하이닉스,0.53,12.19,276889.4375,277885.4426708633,272905.41681654676,276889.4375,3472694,0.033457190101769285,0.007490715484658406,0.027294516257539463,0.010967614123376926,0.15423738503141604,265435.38125,264738.17421875,0.04315195734668106,0.0458991730871785,0.02397120392254874,-0.005395655440991631,0
2025-08-14,20.0,000660.KS,SK하이닉스,0.53,10.6,275395.4375,276391.442698915,269419.40630651,276391.442698915,2101050,-0.005395655440991631,0.033457190101769285,0.011850750048478687,0.00715141792013807,-0.39497980530389376,268323.796875,265086.77734375,0.026354876859074707,0.03888787007615357,0.024174367181326987,-0.032549672323456735,0
2025-08-18,20.0,000660.KS,SK하이닉스,0.53,10.6,266431.40625,270913.42990654206,265933.40362149535,270913.42990654206,1993220,-0.032549672323456735,-0.005395655440991631,-0.0014960458875596938,0.005212221080922246,-0.05132195806858475,270515.0125,265012.07734375,-0.015095673294656841,0.005355714050756204,0.02699891432493275,-0.016822517052641928,0
2025-08-19,21.0,000660.KS,SK하이닉스,0.53,11.13,261949.359375,268921.39555608365,260455.35162191067,267427.3878029943,1709646,-0.016822517052641928,-0.032549672323456735,-0.01825594827236343,0.0008747610206995945,-0.142269292902941,269718.209375,264538.975,-0.028803579921438064,-0.009789164810213606,0.027863165808674283,-0.028517141224636777,0
2025-08-20,21.0,000660.KS,SK하이닉스,0.53,11.13,254479.3125,255973.32020547945,249997.28938356164,253483.30736301368,3571545,-0.028517141224636777,-0.016822517052641928,-0.025963110200245148,-0.0002002053241583836,1.0890552781102052,267028.990625,263891.5703125,-0.04699743685367862,-0.035667140869085054,0.028970558001348585,-0.04109586265484744,0
2025-08-21,25.0,000660.KS,SK하이닉스,0.53,13.25,244021.265625,249997.29661989794,244021.265625,245515.27337372449,6301130,-0.04109586265484744,-0.028517141224636777,-0.028811840310708714,-0.011918991872878117,0.7642588851603438,260455.35625,262696.36328125,-0.0630975337256095,-0.07109005021228985,0.025995981850017336,0.02448979696377651,1
2025-08-22,21.0,000660.KS,SK하이닉스,0.53,11.13,249997.296875,251491.30462524903,244519.26845742034,244519.26845742034,3064062,0.02448979696377651,-0.04109586265484744,-0.015041068971902568,-0.00949055166157553,-0.5137281725658731,255375.728125,261775.059375,-0.02106085527191287,-0.04499191988770802,0.028758559148846986,0.03386455366048646,1
2025-08-25,24.0,000660.KS,SK하이닉스,0.53,12.72,258463.34375,260455.35410645473,252985.31526974952,254977.32562620426,3183709,0.03386455366048646,0.02448979696377651,0.005752829323138513,-0.009432356867473077,0.03904849183861159,253782.115625,261451.3578125,0.01844585507324397,-0.011428565862116737,0.028860183859382278,0.007707089025075664,1
2025-08-26,21.0,000660.KS,SK하이닉스,0.53,11.13,260455.34375,261451.34888862332,255973.32062619503,258463.33347275335,2050625,0.007707089025075664,0.03386455366048646,0.02202047988311288,-0.007560536229463463,-0.35590061780143856,253483.3125,261426.45703125,0.02750489245717112,-0.0037146710102639556,0.029581528397450423,-0.005736108073228996,0
2025-08-27,22.0,000660.KS,SK하이닉스,0.53,11.66,258961.34375,259957.34891826924,254977.3230769231,257965.3385817308,2801594,-0.005736108073228996,0.007707089025075664,0.011945178204111043,-0.0037300270508595,0.36621469064309653,254379.71875,261301.95625,0.018010968101205983,-0.008957500868308132,0.02746683741464894,0.034183914756582334,1
2025-08-28,24.0,000660.KS,SK하이닉스,0.53,12.72,267813.65625,267813.65625,252353.2775837989,253350.72136871508,3836024,0.034183914756582334,-0.005736108073228996,0.012051631902809667,0.003556606064743966,0.369229088868694,259138.196875,261570.271875,0.03347811893275143,0.023868860670770726,0.0300581422113266,0.001862185659175175,1
2025-08-29,24.0,000660.KS,SK하이닉스,0.53,12.72,268312.375,269309.8187732342,265320.0436802974,267314.9312267658,1892127,0.001862185659175175,0.034183914756582334,0.010103330780842837,0.007896509905288531,-0.5067478722760859,262801.2125,261365.5203125,0.02097084122090942,0.026579078522652972,0.026655999690781123,-0.04832712477387602,0
2025-09-01,40.0,000660.KS,SK하이닉스,0.53,21.200000000000003,255345.609375,260332.82830810547,254348.1655883789,258836.66262817383,1837054,-0.04832712477387602,0.001862185659175175,-0.004093674786039503,0.006863472459713019,-0.029106397192154687,262177.665625,261284.33359375,-0.026058879705535644,-0.022728971680267822,0.028915475326102922,0.017578136592935056,1
2025-09-02,47.0,000660.KS,SK하이닉스,0.53,24.91,259834.109375,260831.55317298463,255345.6122840691,255345.6122840691,1584710,0.017578136592935056,-0.04832712477387602,-0.00962893417392193,0.005876092406735668,-0.1373634090233602,262053.41875,261427.571875,-0.008468919755316153,-0.006095235053332089,0.028325255386871286,0.007677494709214416,1
2025-09-03,42.0,000660.KS,SK하이닉스,0.53,22.26,261828.984375,264821.315625,257091.1265625,258836.65312499998,2437896,0.007677494709214416,0.017578136592935056,-0.007690497823908848,0.002135083985125376,0.5383862031538893,262626.946875,261396.65390625,-0.003038387756835256,0.0016539250303680678,0.02561199470045769,0.011428678846014506,1
2025-09-04,32.0,000660.KS,SK하이닉스,0.53,16.96,264821.34375,270307.2849576271,263823.8998940678,266317.5095338983,2189959,0.011428678846014506,0.007677494709214416,0.012228103382721326,0.002666739673830925,-0.10170122105290791,262028.484375,261764.3546875,0.01065860981359195,0.011678400850832086,0.02578497849553566,0.030131752739435358,1
2025-09-05,29.0,000660.KS,SK하이닉스,0.53,15.37,272800.875,274297.04067641683,271304.70932358317,272302.15310786106,3103427,0.030131752739435358,0.011428678846014506,0.016412642098221426,0.007790719789925833,0.41711648482916797,262926.184375,262356.73046875,0.037556893195985964,0.039808944533611,0.027353011969781377,0.012797108880240993,1
2025-09-08,26.0,000660.KS,SK하이닉스,0.53,13.78,276291.9375,278286.8251353791,273299.6060469314,277788.1032265343,2018299,0.012797108880240993,0.030131752739435358,0.018119180155230286,0.004735461807591356,-0.3496547526331375,267115.45,263397.5609375,0.034354012469140174,0.04895404694183805,0.025007480763161564,0.039711166019819055,1
2025-09-09,28.0,000660.KS,SK하이닉스,0.53,14.84,287263.8125,287762.5343967014,276291.93077256944,277289.37456597225,4158342,0.039711166019819055,0.012797108880240993,0.0275466758798318,0.010142459001969053,1.0603201012337617,272601.390625,264464.0828125,0.05378703990241246,0.08621106293539513,0.02817398150603822,0.05555553138110625,1
2025-09-10,33.0,000660.KS,SK하이닉스,0.53,17.490000000000002,303222.90625,304220.3500205592,292251.0247738487,293747.1904296875,5265553,0.05555553138110625,0.039711166019819055,0.03602126876038877,0.024982838452680806,0.2662626113965614,280880.175,266228.9578125,0.07954541914537049,0.13895538915625447,0.01762874680609268,0.009868462073023165,1
2025-09-11,28.0,000660.KS,SK하이닉스,0.53,14.84,306215.25,314194.80048859934,304719.08428338764,309207.5814332247,5148088,0.009868462073023165,0.05555553138110625,0.03504505315798282,0.02388145637840768,-0.02230819820824137,289158.95625,267695.2484375,0.058985873967720176,0.14389497679669672,0.018392751063573284,0.07003253838598833,1
2025-09-12,34.0,000660.KS,SK하이닉스,0.53,18.02,327660.28125,328657.72502853884,318184.5653538813,321176.89668949775,4242516,0.07003253838598833,0.009868462073023165,0.04515217728003925,0.03278931976080395,-0.17590452999249429,300130.8375,270308.490625,0.09172480901766708,0.21217162099641326,0.02359965937796968,0.007610397544941971,1
2025-09-15,35.0,000660.KS,SK하이닉스,0.53,18.55,330153.90625,340627.06641805137,324169.2432968278,338632.178766994,4221256,0.007610397544941971,0.07003253838598833,0.029170466001317823,0.03224385100350787,-0.005011177329678929,310903.23125,273494.615625,0.06191854270089703,0.20716784678016467,0.024211849464820256,0.051359474866125465,1
