Date,Close,High,Low,Open,Volume,ticker,trend_base,trend_stock,trend_forecast,trend_earnings,trend_business_plan,company_name,foreign_ratio,trend_glb,return,volatility_7,rolling_std_5,ma5_gap,ma20_gap,rsi_5,rsi_14,macd_hist,bb_high_gap,bb_low_gap,weighted_trend,trend_lag1,return_lag1,trend_lag2,return_lag2,trend_lag3,return_lag3,trend_lag3_mean,trend_lag7_mean,trend_change,trend_shock,kor_glb_spread,trend_ma_interaction,volume_change,date_trend_rank,date_return_rank,ticker_encoded,next_return,target,target_lag1
2025-05-12,-0.5486371527317843,-0.5568624926928151,-0.5433436121756902,-0.5516196182868798,-0.3956383362546899,000660.KS,-1.1998571190164795,-0.9090905004802001,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1650051943783168,0.3917865841670969,-0.3843080689475453,-0.5030578357657072,0.23703832539703953,0.6723949363059302,0.6132400096208551,0.559919779726919,-0.06399915240410282,0.6166095640970904,0.22207904007393017,-1.1253115977653874,-1.1250056195124591,0.3783202438982673,-1.125938416306369,0.39082652902063403,-1.1270659436683241,0.3976265127106882,-1.2033291359076508,-1.2354626666612756,-0.9651070925226134,-0.1083902442969026,0.7974286339073496,-0.18342207865787719,1.778681661300989,-1.4638501094227996,1.4647079179402647,-1.4638501094227998,0.017948823359660082,1,0.9364417103712739
2025-05-13,-0.5394094646014432,-0.5407021615926737,-0.533062108135575,-0.5334865494017915,-0.1968233001884718,000660.KS,-1.1985991207583009,-1.0565399946271417,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1650051943783168,0.3917865841670969,-0.3843080689475453,-0.5030578357657072,0.23703832539703953,0.6723949363059302,0.6132400096208551,0.559919779726919,-0.028989523218738624,0.6166095640970904,0.22207904007393017,-1.1624871624990227,-1.1250056195124591,0.3783202438982673,-1.125938416306369,0.39082652902063403,-1.1270659436683241,0.3976265127106882,-1.2033291359076508,-1.2354626666612756,-0.9651070925226134,-0.1083902442969026,0.7317746043642098,-0.18342207865787719,1.778681661300989,-1.4638501094227996,1.4647079179402647,-1.4638501094227998,0.03778331048918826,1,0.9364417103712739
2025-05-14,-0.5196359951851807,-0.5265940144628161,-0.5149343231832618,-0.5164047565271765,-0.2026402601926409,000660.KS,-1.197341122500122,-1.2210028919448839,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1726465491088023,0.9899270981971108,-0.3843080689475453,-0.5030578357657072,0.23703832539703953,0.6723949363059302,0.6132400096208551,0.559919779726919,0.06605884990400737,0.6166095640970904,0.22207904007393017,-1.1624871624990227,-1.1622175982571719,0.3783202438982673,-1.125938416306369,0.39082652902063403,-1.1270659436683241,0.3976265127106882,-1.2033291359076508,-1.2354626666612756,-1.5167139445884612,-0.1083902442969026,0.6780971236555635,-0.18342207865787719,-0.2278908875420692,-1.4638501094227996,1.4647079179402647,-1.4638501094227998,-0.02669916302868114,0,0.9364417103712739
2025-05-15,-0.5341366361209592,-0.5240289643354029,-0.5271097977926076,-0.5150908449486682,-0.22009791750912594,000660.KS,-1.2099211050819092,-1.0565399946271417,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1726465491088023,-0.954644475750244,-0.3843080689475453,-0.5030578357657072,0.23703832539703953,0.6723949363059302,0.6132400096208551,0.559919779726919,0.06342416421625996,0.6166095640970904,0.22207904007393017,-1.1624871624990227,-1.1622175982571719,0.9734005631210734,-1.1633312571620882,0.39082652902063403,-1.1270659436683241,0.3976265127106882,-1.2033291359076508,-1.2354626666612756,2.628503368765661,-0.1083902442969026,0.7618521604852375,-0.18342207865787719,-0.28479415693167515,-1.4638501094227996,-1.464707917940265,-1.4638501094227998,0.019950277377037473,1,-1.0678721258619792
2025-05-16,-0.5235906890684332,-0.5272352889141968,-0.5162871387674315,-0.5190327231605032,-0.3058816426084736,000660.KS,-1.2124371015982667,-1.0451977258466076,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1726465491088023,0.4521436141696179,-0.3843080689475453,-0.5030578357657072,0.23703832539703953,0.6723949363059302,0.6132400096208551,0.559919779726919,0.09443747958662507,0.6166095640970904,0.22207904007393017,-1.1624871624990227,-1.1622175982571719,-0.9612222317463561,-1.1633312571620882,0.9937169944052433,-1.1644530524628758,0.3976265127106882,-1.2033291359076508,-1.2354626666612756,-0.11660616322409106,-0.1083902442969026,0.7714799088129508,-0.18342207865787719,-0.636506177018254,-1.4638501094227996,0.8788247507641588,-1.4638501094227998,-0.02493889526388049,0,0.9364417103712739
2025-05-19,-0.5370366814248126,-0.536854512927884,-0.5325210170344926,-0.5269166537703038,-0.29874672289074977,000660.KS,-1.2011151172746581,-0.9828152475536709,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1585567937618737,-0.9015608008968187,-0.3843080689475453,-0.5680864120427931,-0.6029372566716947,0.6723949363059302,0.05691830759553433,0.559919779726919,0.05352898457099361,0.6166095640970904,0.22207904007393017,-1.149957470770471,-1.1622175982571719,0.4383684764435692,-1.1633312571620882,-0.9662968045128737,-1.1644530524628758,0.9979076886222371,-1.2033291359076508,-1.2354626666612756,0.5427134803421657,-0.1083902442969026,0.749943762013086,-0.2222985563934809,-0.15240905387972778,-1.4638501094227996,-1.464707917940265,-1.4638501094227998,0.013039132691024191,1,-1.0678721258619792
2025-05-20,-0.5301818593544044,-0.5240288873047583,-0.5216984307815128,-0.5282306323006486,-0.26058225577574295,000660.KS,-1.2036311137910156,-1.2210028919448839,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1714535949947602,0.24372705123900287,-0.3843080689475453,-0.598274023764861,-0.33652432539582344,0.6723949363059302,-0.0006626054584563236,0.559919779726919,0.04643871953064097,0.6166095640970904,0.22207904007393017,-1.1624871624990227,-1.1496756335117428,-0.908410142552694,-1.1633312571620882,0.4516628660583669,-1.1644530524628758,-0.9536232370938504,-1.2033291359076508,-1.2354626666612756,-1.694115980593315,-0.1083902442969026,0.6663935236275519,-0.20536582007296048,0.048505745577571605,-1.4638501094227996,1.4647079179402647,-1.4638501094227998,-0.007425885877136995,0,0.9364417103712739
2025-05-21,-0.5341366361209592,-0.5317243338675585,-0.5260275401326708,-0.5229747634586037,-0.3846957012520901,000660.KS,-1.2124371015982667,-1.2210028919448839,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1726465491088023,-0.37342814143397746,-0.3843080689475453,-0.6408646662421631,-0.39304280469713865,0.6723949363059302,-0.8322999596720712,0.559919779726919,0.01965367826760661,0.6166095640970904,0.22207904007393017,-1.1624871624990227,-1.1622175982571719,0.23101821025871241,-1.1507283344591264,-0.9127915817666663,-1.1644530524628758,0.45819955214640834,-1.2033291359076508,-1.2354626666612756,-1.126447656575159,-0.1083902442969026,0.6992915905497096,-0.20545533449718062,-0.9117335326557877,-1.4638501094227996,-0.878824750764159,-1.4638501094227998,-0.017954912531490175,0,-1.0678721258619792
2025-05-22,-0.5436278102691328,-0.5407021598881397,-0.5352266221351428,-0.5350633316867687,-0.3545562397772285,000660.KS,-1.2124371015982667,-0.9601307099926031,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1726465491088023,-0.6909476907998269,-0.3607504945474022,-0.5928630500092407,-0.7992059164735457,0.6723949363059302,-0.679957463473427,0.559919779726919,-0.03926717270202075,0.6166095640970904,0.22207904007393017,-1.1521963777400728,-1.1622175982571719,-0.38297950507982936,-1.1633312571620882,0.24159122624833707,-1.1518520616998835,-0.9003495831358084,-1.2033291359076508,-1.2354626666612756,4.648913285754266,-0.1083902442969026,0.8189475979324051,-0.23233948833563337,0.08299636233229779,-1.4638501094227996,-0.878824750764159,-1.4638501094227998,0.015743936253092228,1,-1.0678721258619792
2025-05-23,-0.5354548121598418,-0.5407022088663664,-0.5292742547385797,-0.5350633814666031,-0.4053731427333746,000660.KS,-1.2124371015982667,-0.9431173068218021,-0.4369241172448026,-0.28724288234971723,0.0,SK하이닉스,1.3905400424503944,-1.1726465491088023,0.32529470571881264,-0.6376485320639024,-0.646832549727062,-0.23554983213354067,0.6723949363059302,-0.8111227746489853,0.559919779726919,-0.04828031822630688,0.6166095640970904,0.22207904007393017,-1.1511077266964977,-1.1519167335235696,-0.6988745671331416,-1.1633312571620882,-0.3804649170786654,-1.1644530524628758,0.24903709526398565,-1.2033291359076508,-1.2354626666612756,-0.15448809711457281,-0.1083902442969026,0.8270227531785966,-0.2024569772392848,-0.6133703249447806,-1.4638501094227996,1.4647079179402647,-1.4638501094227998,0.01499997563612121,1,0.9364417103712739
