Date,ticker,target,next_return,weighted_trend,Open,date_trend_rank,return_lag2,Volume,kor_glb_spread,rsi_14,volume_change,return_lag3,return,bb_high_gap,ma20_gap,bb_low_gap,return_lag1,trend_earnings,ma5_gap,rsi_5,trend_ma_interaction,trend_change,macd_hist,date_return_rank,volatility_7,rolling_std_5,trend_forecast,trend_lag3
2025-05-12,000660.KS,1,0.01794882335966,-1.1253115977653874,-0.5516196182868798,-1.4638501094227996,0.390826529020634,-0.3956383362546899,0.7974286339073496,0.559919779726919,1.778681661300989,0.3976265127106882,0.3917865841670969,0.6166095640970904,0.6723949363059302,0.2220790400739301,0.3783202438982673,-0.2872428823497172,0.2370383253970395,0.6132400096208551,-0.1834220786578771,-0.9651070925226134,-0.0639991524041028,1.464707917940265,-0.3843080689475453,-0.5030578357657072,-0.4369241172448026,-1.127065943668324
2025-05-13,000660.KS,1,0.0377833104891882,-1.1624871624990227,-0.5334865494017915,-1.4638501094227996,0.390826529020634,-0.1968233001884718,0.7317746043642098,0.559919779726919,1.778681661300989,0.3976265127106882,0.3917865841670969,0.6166095640970904,0.6723949363059302,0.2220790400739301,0.3783202438982673,-0.2872428823497172,0.2370383253970395,0.6132400096208551,-0.1834220786578771,-0.9651070925226134,-0.0289895232187386,1.464707917940265,-0.3843080689475453,-0.5030578357657072,-0.4369241172448026,-1.127065943668324
2025-05-14,000660.KS,0,-0.0266991630286811,-1.1624871624990227,-0.5164047565271765,-1.4638501094227996,0.390826529020634,-0.2026402601926409,0.6780971236555635,0.559919779726919,-0.2278908875420692,0.3976265127106882,0.9899270981971108,0.6166095640970904,0.6723949363059302,0.2220790400739301,0.3783202438982673,-0.2872428823497172,0.2370383253970395,0.6132400096208551,-0.1834220786578771,-1.5167139445884612,0.0660588499040073,1.464707917940265,-0.3843080689475453,-0.5030578357657072,-0.4369241172448026,-1.127065943668324
2025-05-15,000660.KS,1,0.0199502773770374,-1.1624871624990227,-0.5150908449486682,-1.4638501094227996,0.390826529020634,-0.2200979175091259,0.7618521604852375,0.559919779726919,-0.2847941569316751,0.3976265127106882,-0.954644475750244,0.6166095640970904,0.6723949363059302,0.2220790400739301,0.9734005631210734,-0.2872428823497172,0.2370383253970395,0.6132400096208551,-0.1834220786578771,2.628503368765661,0.0634241642162599,-1.464707917940265,-0.3843080689475453,-0.5030578357657072,-0.4369241172448026,-1.127065943668324
2025-05-16,000660.KS,0,-0.0249388952638804,-1.1624871624990227,-0.5190327231605032,-1.4638501094227996,0.9937169944052432,-0.3058816426084736,0.7714799088129508,0.559919779726919,-0.636506177018254,0.3976265127106882,0.4521436141696179,0.6166095640970904,0.6723949363059302,0.2220790400739301,-0.961222231746356,-0.2872428823497172,0.2370383253970395,0.6132400096208551,-0.1834220786578771,-0.116606163224091,0.094437479586625,0.8788247507641588,-0.3843080689475453,-0.5030578357657072,-0.4369241172448026,-1.1644530524628758
2025-05-19,000660.KS,1,0.0130391326910241,-1.149957470770471,-0.5269166537703038,-1.4638501094227996,-0.9662968045128736,-0.2987467228907497,0.749943762013086,0.559919779726919,-0.1524090538797277,0.9979076886222372,-0.9015608008968188,0.6166095640970904,0.6723949363059302,0.2220790400739301,0.4383684764435692,-0.2872428823497172,-0.6029372566716947,0.0569183075955343,-0.2222985563934809,0.5427134803421657,0.0535289845709936,-1.464707917940265,-0.3843080689475453,-0.5680864120427931,-0.4369241172448026,-1.1644530524628758
2025-05-20,000660.KS,0,-0.0074258858771369,-1.1624871624990227,-0.5282306323006486,-1.4638501094227996,0.4516628660583669,-0.2605822557757429,0.6663935236275519,0.559919779726919,0.0485057455775716,-0.9536232370938504,0.2437270512390028,0.6166095640970904,0.6723949363059302,0.2220790400739301,-0.908410142552694,-0.2872428823497172,-0.3365243253958234,-0.0006626054584563,-0.2053658200729604,-1.694115980593315,0.0464387195306409,1.464707917940265,-0.3843080689475453,-0.598274023764861,-0.4369241172448026,-1.1644530524628758
2025-05-21,000660.KS,0,-0.0179549125314901,-1.1624871624990227,-0.5229747634586037,-1.4638501094227996,-0.9127915817666664,-0.3846957012520901,0.6992915905497096,0.559919779726919,-0.9117335326557876,0.4581995521464083,-0.3734281414339774,0.6166095640970904,0.6723949363059302,0.2220790400739301,0.2310182102587124,-0.2872428823497172,-0.3930428046971386,-0.8322999596720712,-0.2054553344971806,-1.126447656575159,0.0196536782676066,-0.878824750764159,-0.3843080689475453,-0.6408646662421631,-0.4369241172448026,-1.1644530524628758
2025-05-22,000660.KS,1,0.0157439362530922,-1.1521963777400728,-0.5350633316867687,-1.4638501094227996,0.241591226248337,-0.3545562397772285,0.8189475979324051,0.559919779726919,0.0829963623322977,-0.9003495831358084,-0.6909476907998269,0.6166095640970904,0.6723949363059302,0.2220790400739301,-0.3829795050798293,-0.2872428823497172,-0.7992059164735457,-0.679957463473427,-0.2323394883356333,4.648913285754266,-0.0392671727020207,-0.878824750764159,-0.3607504945474022,-0.5928630500092407,-0.4369241172448026,-1.1518520616998835
2025-05-23,000660.KS,1,0.0149999756361212,-1.1511077266964975,-0.5350633814666031,-1.4638501094227996,-0.3804649170786654,-0.4053731427333746,0.8270227531785966,0.559919779726919,-0.6133703249447806,0.2490370952639856,0.3252947057188126,0.6166095640970904,0.6723949363059302,0.2220790400739301,-0.6988745671331416,-0.2872428823497172,-0.2355498321335406,-0.8111227746489853,-0.2024569772392848,-0.1544880971145728,-0.0482803182263068,1.464707917940265,-0.6376485320639024,-0.646832549727062,-0.4369241172448026,-1.1644530524628758
