Date,trend_kor,trend_glb,ticker,company_name,foreign_ratio,weighted_trend
2025-12-16,30.0,53.32259763053972,000660.KS,SK하이닉스,0.53,42.360976744186054
2025-12-17,30.0,53.00397835307885,000660.KS,SK하이닉스,0.53,42.19210852713179
2025-12-18,25.0,52.68535907561797,000660.KS,SK하이닉스,0.53,39.673240310077524
2025-12-19,26.0,52.3667397981571,000660.KS,SK하이닉스,0.53,39.97437209302326
2025-12-20,10.0,52.04812052069622,000660.KS,SK하이닉스,0.53,32.285503875969
2025-12-21,13.0,51.72950124323535,000660.KS,SK하이닉스,0.53,33.526635658914735
2025-12-22,27.0,51.41088196577447,000660.KS,SK하이닉스,0.53,39.93776744186047
2025-12-23,24.0,51.0922626883136,000660.KS,SK하이닉스,0.53,38.35889922480621
2025-12-24,22.0,50.77364341085272,000660.KS,SK하이닉스,0.53,37.25003100775194
2025-12-25,12.0,50.455024133391845,000660.KS,SK하이닉스,0.53,32.38116279069768
2025-12-26,28.0,50.13640485593098,000660.KS,SK하이닉스,0.53,39.732294573643415
2025-12-27,14.0,49.817785578470094,000660.KS,SK하이닉스,0.53,32.98342635658915
2025-12-28,17.0,49.499166301009225,000660.KS,SK하이닉스,0.53,34.22455813953489
2025-12-29,34.0,49.18054702354835,000660.KS,SK하이닉스,0.53,42.045689922480626
2025-12-30,34.0,48.861927746087474,000660.KS,SK하이닉스,0.53,41.87682170542636
2025-12-31,22.0,48.5433084686266,000660.KS,SK하이닉스,0.53,36.0679534883721
2026-01-01,17.0,48.22468919116572,000660.KS,SK하이닉스,0.53,33.549085271317836
2026-01-02,41.0,47.90606991370485,000660.KS,SK하이닉스,0.53,44.66021705426357
2026-01-03,17.0,47.58745063624397,000660.KS,SK하이닉스,0.53,33.21134883720931
2026-01-04,21.0,47.2688313587831,000660.KS,SK하이닉스,0.53,34.92248062015504
2026-01-05,43.0,46.95021208132222,000660.KS,SK하이닉스,0.53,45.09361240310078
2026-01-06,51.0,46.63159280386135,000660.KS,SK하이닉스,0.53,48.684744186046515
2026-01-07,48.0,46.31297352640048,000660.KS,SK하이닉스,0.53,47.10587596899225
2026-01-08,58.0,45.9943542489396,000660.KS,SK하이닉스,0.53,51.637007751937986
2026-01-09,42.0,45.675734971478725,000660.KS,SK하이닉스,0.53,43.94813953488372
2026-01-10,23.0,45.35711569401785,000660.KS,SK하이닉스,0.53,34.84927131782946
2026-01-11,25.0,45.03849641655698,000660.KS,SK하이닉스,0.53,35.620403100775206
2026-01-12,36.0,44.7198771390961,000660.KS,SK하이닉스,0.53,40.621534883720926
2026-01-13,41.0,44.40125786163523,000660.KS,SK하이닉스,0.53,42.802666666666674
2026-01-14,38.0,44.08263858417435,000660.KS,SK하이닉스,0.53,41.2237984496124
2026-01-15,41.0,43.76401930671348,000660.KS,SK하이닉스,0.53,42.464930232558146
2026-01-16,37.0,43.4454000292526,000660.KS,SK하이닉스,0.53,40.41606201550388
2026-01-17,26.0,43.12678075179173,000660.KS,SK하이닉스,0.53,35.07719379844961
2026-01-18,27.0,42.80816147433085,000660.KS,SK하이닉스,0.53,35.37832558139535
2026-01-19,39.0,42.48954219686998,000660.KS,SK하이닉스,0.53,40.84945736434109
2026-01-20,38.0,42.17092291940911,000660.KS,SK하이닉스,0.53,40.210589147286825
2026-01-21,36.0,41.85230364194823,000660.KS,SK하이닉스,0.53,39.10172093023256
2026-01-22,41.0,41.53368436448736,000660.KS,SK하이닉스,0.53,41.2828527131783
2026-01-23,36.0,41.21506508702648,000660.KS,SK하이닉스,0.53,38.76398449612404
2026-01-24,18.0,40.896445809565606,000660.KS,SK하이닉스,0.53,30.13511627906977
2026-01-25,21.0,40.57782653210473,000660.KS,SK하이닉스,0.53,31.376248062015506
2026-01-26,38.0,40.259207254643854,000660.KS,SK하이닉스,0.53,39.19737984496125
2026-01-27,53.0,39.94058797718298,000660.KS,SK하이닉스,0.53,46.07851162790698
2026-01-28,100.0,39.6219686997221,000660.KS,SK하이닉스,0.53,67.99964341085271
2026-01-29,76.0,39.30334942226124,000660.KS,SK하이닉스,0.53,56.55077519379846
2026-01-30,76.0,38.98473014480035,000660.KS,SK하이닉스,0.53,56.38190697674419
2026-01-31,27.0,38.66611086733948,000660.KS,SK하이닉스,0.53,33.18303875968993
2026-02-01,28.0,38.34749158987861,000660.KS,SK하이닉스,0.53,33.48417054263567
